정답,문장1,단어1,문장2,단어2
0,중국의 경제 규모가 이미 러시아의 10배에 달하는 가운데 중국이 소탐대실할 이유가 없다,소탐대실,중국의 경제 규모가 이미 러시아의 10배에 달하는 가운데 중국이 풍수지탄할 이유가 없다,풍수지탄
0,"팬데믹 기간 내에 위기를 극복했던 기업들은 변화에 유연하게 대처했고, 그와 동시에 부화뇌동하지 않았다",부화뇌동,"팬데믹 기간 내에 위기를 극복했던 기업들은 변화에 유연하게 대처했고, 그와 동시에 절차탁마하지 않았다",절차탁마
0,김정희 선생은 방대한 독서와 절차탁마를 통해 서예가를 넘어 다방면에 최고의 역량을 발휘한 학자이며 교육자이다,절차탁마,김정희 선생은 방대한 독서와 풍수지탄을 통해 서예가를 넘어 다방면에 최고의 역량을 발휘한 학자이며 교육자이다,풍수지탄
0,우리 주변과 사회의 서로 다른 수많은 의견과 기준에 부화뇌동하지 않고 중심을 잘 잡아야 한다.,부화뇌동,우리 주변과 사회의 서로 다른 수많은 의견과 기준에 토사구팽하지 않고 중심을 잘 잡아야 한다.,토사구팽
0,여당 내에서도 국민 시선은 아랑곳 않는 여당 내부의 '권력다툼'이 소탐대실의 결과로 이어질 것이라는 우려를 내놓고 있다,소탐대실,여당 내에서도 국민 시선은 아랑곳 않는 여당 내부의 '권력다툼'이 대기만성의 결과로 이어질 것이라는 우려를 내놓고 있다,대기만성
0,"휴일도 잊은 채 절차탁마의 자세로 다듬고 보완하면서, 빛나는 보석을 만들어 나갔다",절차탁마,"휴일도 잊은 채 수수방관의 심정으로 다듬고 보완하면서, 빛나는 보석을 만들어 나갔다",수수방관
0,"이 장관은 고장난명이라는 사자성어를 인용하며 “성장을 위한 산업계의 노력, 기업가정신을 강력하게 뒷받침하는 정책을 추진하겠다”고 강조했다",고장난명,"이 장관은 군계일학이라는 사자성어를 인용하며 “성장을 위한 산업계의 노력, 기업가정신을 강력하게 뒷받침하는 정책을 추진하겠다”고 강조했다",군계일학
0,원칙만 지켜지면 이번 파업이 노·사 관계 정상화라는 전화위복 계기가 될 수도 있다.,전화위복,원칙만 지켜지면 이번 파업이 노·사 관계 정상화라는 소탐대실 계기가 될 수도 있다.,소탐대실
1,정치적인 입장을 떠나 공영방송의 원칙에 충실하게 정권을 비판했다면 사사건건 호가호위를 일삼던 특정 정당의 거짓 프로파간다를 억제할 수 있었을 것이다,호가호위,정치적인 입장을 떠나 공영방송의 원칙에 충실하게 정권을 비판했다면 사사건건 지록위마를 일삼던 특정 정당의 거짓 프로파간다를 억제할 수 있었을 것이다,지록위마
1,그는 블록체인 게임 사업 실적 관련 질문에 '과유불급'이란 취지로 답하면서 위믹스 생태계에 수많은 게임사들이 동참할 것이라는 강한 기대를 드러냈다,과유불급,그는 블록체인 게임 사업 실적 관련 질문에 '다다익선'이란 취지로 답하면서 위믹스 생태계에 수많은 게임사들이 동참할 것이라는 강한 기대를 드러냈다,다다익선
1,법인과 사학이 견원지간의 관계가 되어야 대학혁신의 동력이 생기리라 본다,견원지간,법인과 사학이 간담상조의 관계가 되어야 대학혁신의 동력이 생기리라 본다,간담상조
1,청와대는 이날 배포한 보도자료에서 다음날부터 북악산 남측면을 개방한다는 소식을 알리며 윤 당선인의 청와대 개방 스케줄과 겹친 것은 '풍전등화'일 뿐이라고 했다,풍전등화,청와대는 이날 배포한 보도자료에서 다음날부터 북악산 남측면을 개방한다는 소식을 알리며 윤 당선인의 청와대 개방 스케줄과 겹친 것은 '오비이락'일 뿐이라고 했다,오비이락
1,안중환 교육지원과장은 “재미와 편리함을 추구하는 현대사회에서 전통문화를 보존하고 와신상담의 자세를 다시 생각해보는 것은 중요한 일이다.”고 말했다,와신상담,안중환 교육지원과장은 “재미와 편리함을 추구하는 현대사회에서 전통문화를 보존하고 온고지신의 자세를 다시 생각해보는 것은 중요한 일이다.”고 말했다,온고지신
1,일단 아전인수식으로 한 바퀴를 돌았다면 주제별 디테일한 관람이 가능하다,아전인수,일단 주마간산식으로 한 바퀴를 돌았다면 주제별 디테일한 관람이 가능하다,주마간산
1,제주에 와서 과거의 삶의 자세나 행태를 고집하는 경우는 일종의 `각주구검'이며 굴러 온 돌이 박힌 돌 빼려다 힘에 부쳐 포기하는 것과 진배 없다,각주구검,제주에 와서 과거의 삶의 자세나 행태를 고집하는 경우는 일종의 `온고지신'이며 굴러 온 돌이 박힌 돌 빼려다 힘에 부쳐 포기하는 것과 진배 없다,온고지신
1,용두사미로 최근 6연승을 달리며 쾌속질주를 하고 있는 메이저리그 최고 명문 뉴욕 양키스가 파워랭킹 1위 자리를 탈환했다,용두사미,파죽지세로 최근 6연승을 달리며 쾌속질주를 하고 있는 메이저리그 최고 명문 뉴욕 양키스가 파워랭킹 1위 자리를 탈환했다,파죽지세
1,남원 결혼이민자 섬 사마디씨가 남원시 최초 공무원 채용에 이어 주마간산으로 사회복지사 자격증까지 취득해 눈길을 끌고 있다,주마간산,남원 결혼이민자 섬 사마디씨가 남원시 최초 공무원 채용에 이어 주경야독으로 사회복지사 자격증까지 취득해 눈길을 끌고 있다,주경야독
1,의료정책과 관련하여 오매불망이었던 의견을 한자리에 모여 논의하고 공감을 이룬 의견을 만들겠다는 것이다,오매불망,의료정책과 관련하여 중구난방이었던 의견을 한자리에 모여 논의하고 공감을 이룬 의견을 만들겠다는 것이다,중구난방
1,PCR 검사를 일상화하는 것은 시민들의 부담을 가중시키는 만큼 각 도시의 상황에 맞게끔 해야 하며 온고지신으로 적용해서는 안 된다,온고지신,PCR 검사를 일상화하는 것은 시민들의 부담을 가중시키는 만큼 각 도시의 상황에 맞게끔 해야 하며 천편일률로 적용해서는 안 된다,천편일률
1,그룹이 어떻게 보면 금상첨화이지만 각자의 개성이 하나씩 하나씩 짜여지면서 아름다운 그림을 완성해 나가는 그림을 보여주는 것 같다,금상첨화,그룹이 어떻게 보면 오합지졸이지만 각자의 개성이 하나씩 하나씩 짜여지면서 아름다운 그림을 완성해 나가는 그림을 보여주는 것 같다,오합지졸
1,이 지역에서 작은 플라스틱을 수거하는 활동을 '플라스틱 방앗간' 사업과 연결하면 환경도 살리고 새로운 소득도 만들어내는 어부지리의 사업이 될 수 있다,어부지리,이 지역에서 작은 플라스틱을 수거하는 활동을 '플라스틱 방앗간' 사업과 연결하면 환경도 살리고 새로운 소득도 만들어내는 일거양득의 사업이 될 수 있다,일거양득
1,정용화는 무한한 팬 사랑과 중구난방 가창력을 보여주며 여운을 남겼다.,중구난방,정용화는 무한한 팬 사랑과 명불허전 가창력을 보여주며 여운을 남겼다.,명불허전
1,태평양전쟁 초기 미국과 일본이 허장성세의 승부를 펼친 미드웨이해전에서 미국의 승리를 이끈 것은 바로 ‘정보력’이었다,허장성세,태평양전쟁 초기 미국과 일본이 건곤일척의 승부를 펼친 미드웨이해전에서 미국의 승리를 이끈 것은 바로 ‘정보력’이었다,건곤일척
1,중국과 외국의 방역 전문가들조차 비판의 목소리를 내고 있는데도 중국 정부는 ‘천의무봉’이다,천의무봉,중국과 외국의 방역 전문가들조차 비판의 목소리를 내고 있는데도 중국 정부는 ‘마이동풍’이다,마이동풍
1,결국 떠나는 걸 연기하게 되는데 그 동안 주인공은 근묵자흑하며 여러 생각을 하게 됩니다,근묵자흑,결국 떠나는 걸 연기하게 되는데 그 동안 주인공은 전전반측하며 여러 생각을 하게 됩니다,전전반측
1,"한국은 물론 일본, 대만 등 각국의 이해관계에 따른 ‘일취월장’은 협력의 고리를 조금 느슨하게 만들고 있다",일취월장,"한국은 물론 일본, 대만 등 각국의 이해관계에 따른 ‘동상이몽’은 협력의 고리를 조금 느슨하게 만들고 있다",동상이몽
1,저자는 이미 잘 알려진 독서광이자 여행광으로 부화뇌동하며 경지에 이른 그의 인문적 소양은 여행기의 격을 한껏 높인다,부화뇌동,저자는 이미 잘 알려진 독서광이자 여행광으로 수불석권하며 경지에 이른 그의 인문적 소양은 여행기의 격을 한껏 높인다,수불석권
1,"엄청난 자금력과 인력을 가진 거대 공룡, 네이버와 카카오, 구글 등과 경쟁해야 하는 ‘난형난제’의 상황을 떠올리지 않을 수 없습니다",난형난제,"엄청난 자금력과 인력을 가진 거대 공룡, 네이버와 카카오, 구글 등과 경쟁해야 하는 ‘당랑거철’의 상황을 떠올리지 않을 수 없습니다",당랑거철
1,게임 행사를 실질적으로 기획하는 전문가들을 찾아 제언을 청취하고 괄목상대의 심정으로 변화해야 한다,괄목상대,게임 행사를 실질적으로 기획하는 전문가들을 찾아 제언을 청취하고 읍참마속의 심정으로 변화해야 한다,읍참마속
1,정치권에서는 정쟁을 지양하고 '4대강 사업'을 차분히 확대했더라면 이런 일은 없었을 것이라는 풍수지탄의 탄식이 나온다,풍수지탄,정치권에서는 정쟁을 지양하고 '4대강 사업'을 차분히 확대했더라면 이런 일은 없었을 것이라는 망양보뢰의 탄식이 나온다,망양보뢰
1,"""오직 혁신의 한길로 달려온 혁신구청장에게 주마간산해 달라""며 '중단 없는 혁신성장'을 강조했다",주마간산,"""오직 혁신의 한길로 달려온 혁신구청장에게 주마가편해 달라""며 '중단 없는 혁신성장'을 강조했다",주마가편
1,"헝다그룹의 위기는 중국 정부의 부동산 규제가 직접적인 원인이었지만 차입경영, 방만경영, 문어발식 확장의 읍참마속이라고도 할수 있다",읍참마속,"헝다그룹의 위기는 중국 정부의 부동산 규제가 직접적인 원인이었지만 차입경영, 방만경영, 문어발식 확장의 사필귀정이라고도 할수 있다",사필귀정
1,산림청은 동일한 사건이 또다시 발생하지 않도록 규정을 위반한 직원을 살신성인하고 현장점검을 진행하기로 했다,살신성인,산림청은 동일한 사건이 또다시 발생하지 않도록 규정을 위반한 직원을 일벌백계하고 현장점검을 진행하기로 했다,일벌백계
1,"죽마고우를 내버려 두고 집밖으로 싸돌아다니는 주인공은 일확천금을 꿈꾸며, 운 좋게 번 돈은 내내 도박에만 쓴다",죽마고우,"조강지처를 내버려 두고 집밖으로 싸돌아다니는 주인공은 일확천금을 꿈꾸며, 운 좋게 번 돈은 내내 도박에만 쓴다",조강지처
1,앞으로도 일벌백계의 자세로 시민이 행복한 행정수도가 될 수 있도록 끝까지 노력해 나가겠다,일벌백계,앞으로도 마부작침의 자세로 시민이 행복한 행정수도가 될 수 있도록 끝까지 노력해 나가겠다,마부작침
1,든든한 안보의 뒷받침이 없는 경제성장은 화룡점정이나 마찬가지인 것이다.,화룡점정,든든한 안보의 뒷받침이 없는 경제성장은 사상누각이나 마찬가지인 것이다.,사상누각
1,함흥차사인 그는 끊임없는 학습 노력으로 중난하이에서 14억 중국의 국사가 되었다,함흥차사,백면서생인 그는 끊임없는 학습 노력으로 중난하이에서 14억 중국의 국사가 되었다,백면서생
1,제품을 만들어 시장에 내놓으려면 회사를 차려야 하는데 이제껏 연구만 한 경국지색은 어떤 것부터 해야 할지 몰랐다,경국지색,제품을 만들어 시장에 내놓으려면 회사를 차려야 하는데 이제껏 연구만 한 백면서생은 어떤 것부터 해야 할지 몰랐다,백면서생
1,결과적으로 손익계산서를 살펴보면 일본의 비우호적인 수출 규제 행위는 일본에게는 금상첨화가 되었다,금상첨화,결과적으로 손익계산서를 살펴보면 일본의 비우호적인 수출 규제 행위는 일본에게는 자승자박이 되었다,자승자박
1,"선공후사라지만, 아무리 후하게 점수를 주려해도 현재의 교육 공무원은 선배만 못하다는 생각이 든다",선공후사,"후생가외라지만, 아무리 후하게 점수를 주려해도 현재의 교육 공무원은 선배만 못하다는 생각이 든다",후생가외
1,이들 협의회는 평소에도 마을의 대소사에 발 벗고 나서며 고육지책의 미덕을 실천하여 모범이 되어왔다,고육지책,이들 협의회는 평소에도 마을의 대소사에 발 벗고 나서며 선공후사의 미덕을 실천하여 모범이 되어왔다,선공후사
1,북한 외무성이 미국의 핵무기를 일본에 배치하는 것을 검토해야 한다는 아베 신조 전 일본 총리의 주장을 '주마가편'이라며 비난했습니다,주마가편,북한 외무성이 미국의 핵무기를 일본에 배치하는 것을 검토해야 한다는 아베 신조 전 일본 총리의 주장을 '경거망동'이라며 비난했습니다,경거망동
1,사업자들은 정부의 수급조절에 따랐다는 점을 건곤일척 식으로 붙여서 공정거래법 적용이 배제되는 사안이라고 했다,건곤일척,사업자들은 정부의 수급조절에 따랐다는 점을 견강부회 식으로 붙여서 공정거래법 적용이 배제되는 사안이라고 했다,견강부회
1,북한의 대외선전매체 메아리는 “남한의 평화타령은 가렴주구”라고 비난했다.,가렴주구,북한의 대외선전매체 메아리는 “남한의 평화타령은 구밀복검”이라고 비난했다.,구밀복검
1,"송가인은 ""김 선생님이 나오는 방송은 빠짐없이 모니터링했고 만나는 날만 주경야독했다""고 전했다",주경야독,"송가인은 ""김 선생님이 나오는 방송은 빠짐없이 모니터링했고 만나는 날만 학수고대했다""고 전했다",학수고대
1,"그는 전형적인 백면서생의 현직 도의원으로 송 지사의 컷 오프, 정체성 시비 등 혼란의 도지사 선거를 소리없이 해결했다는 평가를 받고 있다",백면서생,"그는 전형적인 외유내강의 현직 도의원으로 송 지사의 컷 오프, 정체성 시비 등 혼란의 도지사 선거를 소리없이 해결했다는 평가를 받고 있다",외유내강
1,어떤 것에서라도 배워야겠다는 의지와 학수고대의 겸손함이 없으면 배울 것이 눈앞에 있어도 배우지 못하지요,학수고대,어떤 것에서라도 배워야겠다는 의지와 불치하문의 겸손함이 없으면 배울 것이 눈앞에 있어도 배우지 못하지요,불치하문
1,견강부회 연출한 9분짜리 단편영화는 그야말로 완벽한 무언가를 선사한다,견강부회,절치부심 연출한 9분짜리 단편영화는 그야말로 완벽한 무언가를 선사한다,절치부심
1,23년간 투어에서 수불석권했던 '골프황제' 타이거 우즈에 대한 자신의 생각도 밝혔다,수불석권,23년간 투어에서 동고동락했던 '골프황제' 타이거 우즈에 대한 자신의 생각도 밝혔다,동고동락
1,"여소야대 상황에서 국정운영 동력을 확보하기 위해 당과 정부, 대통령실이 자승자박으로 합심해야 한다",자승자박,"여소야대 상황에서 국정운영 동력을 확보하기 위해 당과 정부, 대통령실이 이심전심으로 합심해야 한다",이심전심
1,"김진우라는 캐릭터는 마지막까지 소탐대실하지 못해 아쉽지만, 작품이 큰 사랑을 받아 기분 좋게 마무리할 수 있었다",소탐대실,"김진우라는 캐릭터는 마지막까지 개과천선하지 못해 아쉽지만, 작품이 큰 사랑을 받아 기분 좋게 마무리할 수 있었다",개과천선
